                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                0.87748,                 1.0478,                 1.0307,                0.79859,                      1,                  0.995,                0.52735,                 1.5523,                 1.0555,                 1.1968,             0.00056105,             0.00056105,             0.00056105
                    102,                  1.669,                 2.4049,                 1.1602,                0.79859,                      1,                  0.995,                0.52735,                 1.5523,                 1.0555,                 1.1968,             0.00055556,             0.00055556,             0.00055556
                    103,                 1.0508,                 1.1867,                  1.169,                0.79859,                      1,                  0.995,                0.52735,                 1.5523,                 1.0555,                 1.1968,             0.00055006,             0.00055006,             0.00055006
                    104,                 1.2637,                 1.1714,                 1.0811,                0.85059,                      1,                  0.995,                 0.5572,                 1.4551,                0.96894,                 1.1566,             0.00054456,             0.00054456,             0.00054456
                    105,                0.94115,                0.93201,                0.97676,                0.85059,                      1,                  0.995,                 0.5572,                 1.4551,                0.96894,                 1.1566,             0.00053906,             0.00053906,             0.00053906
                    106,                0.98922,                 1.3941,                 1.0105,                0.85059,                      1,                  0.995,                 0.5572,                 1.4551,                0.96894,                 1.1566,             0.00053356,             0.00053356,             0.00053356
                    107,                  1.232,                 1.2038,                 1.0159,                0.85059,                      1,                  0.995,                 0.5572,                 1.4551,                0.96894,                 1.1566,             0.00052806,             0.00052806,             0.00052806
                    108,                  0.994,                 1.1774,                 1.0358,                0.72658,                      1,                  0.995,                0.55886,                 1.3188,                0.94431,                 1.1227,             0.00052256,             0.00052256,             0.00052256
                    109,                0.92246,                 1.2644,                 1.0246,                0.72658,                      1,                  0.995,                0.55886,                 1.3188,                0.94431,                 1.1227,             0.00051706,             0.00051706,             0.00051706
                    110,                0.76053,                 1.8132,                 1.0268,                0.72658,                      1,                  0.995,                0.55886,                 1.3188,                0.94431,                 1.1227,             0.00051156,             0.00051156,             0.00051156
                    111,                0.77809,                0.98389,                0.96064,                0.72658,                      1,                  0.995,                0.55886,                 1.3188,                0.94431,                 1.1227,             0.00050606,             0.00050606,             0.00050606
                    112,                 1.0622,                 1.0613,                 1.0865,                0.85651,                      1,                  0.995,                0.64675,                 1.0433,                0.91299,                 1.0203,             0.00050056,             0.00050056,             0.00050056
                    113,                 1.3805,                 1.3134,                0.99328,                0.85651,                      1,                  0.995,                0.64675,                 1.0433,                0.91299,                 1.0203,             0.00049506,             0.00049506,             0.00049506
                    114,                 1.0911,                0.88904,                 1.0675,                0.85651,                      1,                  0.995,                0.64675,                 1.0433,                0.91299,                 1.0203,             0.00048956,             0.00048956,             0.00048956
                    115,                 1.9743,                 2.0887,                 1.0946,                0.85651,                      1,                  0.995,                0.64675,                 1.0433,                0.91299,                 1.0203,             0.00048406,             0.00048406,             0.00048406
